age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
,1000 - 1250,,,,,,20000+,pt,0.025989431969700657
,1000 - 1250,,,,,,20000+,ride,0.0030192666946047136
,1000 - 1250,,,,,,20000+,walk,0.00027630183888170386
,1250 - 1500,,,,,,0 - 1000,bike,0.05944864464429602
,1250 - 1500,,,,,,0 - 1000,car,0.008562824725599136
,1250 - 1500,,,,,,0 - 1000,pt,0.0037334610439443533
,1250 - 1500,,,,,,0 - 1000,ride,0.0038700029346265697
,1250 - 1500,,,,,,0 - 1000,walk,0.228232638902986
,1250 - 1500,,,,,,1000 - 2000,bike,0.06789241415041443
,1250 - 1500,,,,,,1000 - 2000,car,0.01623217093918624
,1250 - 1500,,,,,,1000 - 2000,pt,0.019162406654933843
,1250 - 1500,,,,,,1000 - 2000,ride,0.015418887893811791
,1250 - 1500,,,,,,1000 - 2000,walk,0.045204298969683115
,1250 - 1500,,,,,,2000 - 5000,bike,0.06378914614237381
,1250 - 1500,,,,,,2000 - 5000,car,0.041425984681562576
,1250 - 1500,,,,,,2000 - 5000,pt,0.0807479489699261
,1250 - 1500,,,,,,2000 - 5000,ride,0.026783004301903068
,1250 - 1500,,,,,,2000 - 5000,walk,0.011735919856059103
,1250 - 1500,,,,,,5000 - 10000,bike,0.024337769826804273
,1250 - 1500,,,,,,5000 - 10000,car,0.04505186885134534
,1250 - 1500,,,,,,5000 - 10000,pt,0.07443490308281904
,1250 - 1500,,,,,,5000 - 10000,ride,0.0218498826883401
,1250 - 1500,,,,,,5000 - 10000,walk,0.0007932553030618077
,1250 - 1500,,,,,,10000 - 20000,bike,0.005492424743935386
,1250 - 1500,,,,,,10000 - 20000,car,0.032894466973380936
,1250 - 1500,,,,,,10000 - 20000,pt,0.055882117084996505
,1250 - 1500,,,,,,10000 - 20000,ride,0.006990965399255556
,1250 - 1500,,,,,,10000 - 20000,walk,0.000719246903987575
,1250 - 1500,,,,,,20000+,bike,0.0009820404989348522
,1250 - 1500,,,,,,20000+,car,0.017760126501858767
,1250 - 1500,,,,,,20000+,pt,0.0175298819644017
,1250 - 1500,,,,,,20000+,ride,0.0026420209130234304
,1250 - 1500,,,,,,20000+,walk,0.00039927445254849924
,1500 - 1750,,,,,,0 - 1000,bike,0.04402291064346776
,1500 - 1750,,,,,,0 - 1000,car,0.011532967170058717
,1500 - 1750,,,,,,0 - 1000,pt,0.002719048426860786
,1500 - 1750,,,,,,0 - 1000,ride,0.006553971484993975
,1500 - 1750,,,,,,0 - 1000,walk,0.22688591743630104
,1500 - 1750,,,,,,1000 - 2000,bike,0.04604471022600102
,1500 - 1750,,,,,,1000 - 2000,car,0.027664702848608683
,1500 - 1750,,,,,,1000 - 2000,pt,0.01479374431779947
,1500 - 1750,,,,,,1000 - 2000,ride,0.01601923336910383
,1500 - 1750,,,,,,1000 - 2000,walk,0.05374666555327255
,1500 - 1750,,,,,,2000 - 5000,bike,0.055888990218041314
,1500 - 1750,,,,,,2000 - 5000,car,0.05497182600357195
,1500 - 1750,,,,,,2000 - 5000,pt,0.0641158151283555
,1500 - 1750,,,,,,2000 - 5000,ride,0.029681544267341896
,1500 - 1750,,,,,,2000 - 5000,walk,0.01335240134737819
,1500 - 1750,,,,,,5000 - 10000,bike,0.023326467850412584
,1500 - 1750,,,,,,5000 - 10000,car,0.05040748273120045
,1500 - 1750,,,,,,5000 - 10000,pt,0.07084414063615632
,1500 - 1750,,,,,,5000 - 10000,ride,0.01875807886750648
,1500 - 1750,,,,,,5000 - 10000,walk,0.0014420866578753698
,1500 - 1750,,,,,,10000 - 20000,bike,0.007188795498151955
,1500 - 1750,,,,,,10000 - 20000,car,0.037705140299731925
,1500 - 1750,,,,,,10000 - 20000,pt,0.06200617957958072
,1500 - 1750,,,,,,10000 - 20000,ride,0.01032268178542185
,1500 - 1750,,,,,,10000 - 20000,walk,0.00030571292169419127
,1500 - 1750,,,,,,20000+,bike,0.0007556108350693753
,1500 - 1750,,,,,,20000+,car,0.019871910482077423
,1500 - 1750,,,,,,20000+,pt,0.022919977483033243
